,track_id,track_name,danceability,loudness,acousticness,liveness,valence,tempo
0,7gaA3wERFkFkgivjwbSvkG,"yes, and?",0.788,-6.513,0.198,0.104,0.823,119.008
1,17phhZDn6oGtzMe56NuWvj,Lose Control,0.561,-4.409,0.199,0.104,0.242,159.92
2,3rUGC1vUpkDG9CZFHMur1t,greedy,0.75,-3.18,0.256,0.114,0.844,111.018
3,7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",0.522,-6.287,0.0545,0.162,0.202,87.51
4,52eIcoLUM25zbQupAZYoFh,redrum,0.624,-8.445,0.00529,0.5,0.246,172.089
5,4xhsWYTOGcal8zt0J161CU,Lovin On Me,0.943,-4.911,0.0026,0.0937,0.606,104.983
6,6XaJfhwof7qIgbbXO5tIQI,Igual Que Un Ángel (with Peso Pluma),0.685,-5.36,0.00348,0.183,0.464,107.999
7,2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,0.868,-8.603,0.269,0.0901,0.732,99.968
8,5aIVCx5tnk0ntmdiinnYvw,Water,0.673,-3.495,0.0856,0.137,0.519,117.187
9,0mflMxspEfB0VbI1kyLiAv,Stick Season,0.662,-6.894,0.782,0.102,0.817,117.913
10,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,0.552,-5.707,0.117,0.105,0.564,169.994
11,5mjYQaktjmjcMKcUIcqz4s,Strangers,0.628,-8.307,0.701,0.219,0.416,169.982
12,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,0.559,-7.231,0.141,0.11,0.392,143.008
13,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),0.645,-4.56,0.0377,0.384,0.142,146.01
14,2Zo1PcszsT9WQ0ANntJbID,Feather,0.787,-4.37,0.0893,0.0927,0.836,123.51
15,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",0.444,-17.665,0.959,0.098,0.142,78.403
16,6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,0.472,-5.692,0.151,0.14,0.219,105.029
17,1kuGVB7EU95pJObxwvfwKS,vampire,0.511,-5.745,0.177,0.291,0.35,138.005
18,6uTPdRrEDeH8Fyg5L5qmeU,Never Lose Me,0.781,-7.857,0.0504,0.0981,0.0743,121.964
19,1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),0.575,-7.302,0.173,0.257,0.471,75.956
20,7dJYggqjKo71KI9sLzqCs8,Agora Hills,0.75,-6.128,0.228,0.122,0.392,123.026
21,4OMJGnvZfDvsePyCwRGO7X,Houdini,0.744,-4.876,0.0036,0.0947,0.866,116.985
22,4E63weMCaNZuGPEFMnuEi8,exes,0.821,-6.57,0.173,0.114,0.611,136.962
23,3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,0.504,-14.958,0.868,0.158,0.121,113.95
24,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),0.801,-5.206,0.382,0.114,0.802,106.999
25,6VciS3dRMpZhJiDxT8ArFi,"Young Miko: Bzrp Music Sessions, Vol. 58",0.704,-8.212,0.588,0.117,0.443,96.016
26,4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),0.429,-7.746,0.554,0.102,0.155,77.639
27,6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),0.855,-6.276,0.0569,0.412,0.852,99.029
28,4MjDJD8cW7iVeWInc2Bdyj,MONACO,0.787,-5.009,0.15,0.58,0.13,139.056
29,1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,0.671,-4.93,0.0207,0.329,0.775,110.056
30,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),0.802,-4.107,0.311,0.0815,0.89,124.997
31,1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),0.596,-7.346,0.0504,0.127,0.176,100.012
32,05WVKTdZhlIMX4qqMLuo0f,BELLAKEO,0.72,-2.834,0.0562,0.153,0.463,180.011
33,0cVyQfDyRnMJ0V3rjjdlU3,Lil Boo Thang,0.85,-3.292,0.152,0.32,0.915,114.481
34,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,0.644,-5.747,0.0521,0.161,0.418,88.98
35,0R6NfOiLzLj4O5VbYSJAjf,La Diabla,0.751,-4.372,0.255,0.236,0.697,131.842
36,17cia5k4BpGVlyEfqrFH50,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,0.518,-7.76,0.855,0.119,0.234,141.934
37,59NraMJsLaMCVtwXTSia8i,Prada,0.638,-5.804,0.001,0.113,0.422,141.904
38,0LMwmV37RCmBO2so0szAFs,Whatever,0.576,-5.678,0.114,0.333,0.596,107.943
39,1a73gcEg6h6Re6hHXoVltJ,FTCU,0.928,-6.751,0.0175,0.118,0.242,144.995
40,2KslE17cAJNHTsI2MI0jb2,Standing Next to You,0.711,-4.389,0.0447,0.339,0.816,106.017
41,7bywjHOc0wSjGGbj04XbVi,LUNA,0.774,-2.888,0.131,0.116,0.446,100.019
42,4rXLjWdF2ZZpXCVTfWcshS,fukumean,0.847,-6.747,0.119,0.285,0.22,130.001
43,6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,0.927,-4.441,0.0186,0.104,0.817,117.995
44,5sdQOyqq2IDhvmx2lHOpwd,Super Shy,0.776,-6.018,0.18,0.146,0.515,149.921
45,17CWWoszMuoGecCJzmOubE,J CHRIST,0.747,-6.447,0.0589,0.451,0.89,149.893
46,5Eh1nj7IjV9lwpcKAkidyY,One Of Your Girls,0.629,-7.852,0.0878,0.22,0.799,93.034
47,2HafqoJbgXdtjwCOvNEF14,Si No Estás,0.537,-8.72,0.827,0.138,0.524,98.224
48,1odExI7RdWc4BT515LTAwj,Daylight,0.508,-9.475,0.83,0.093,0.324,130.09
49,7DSAEUvxU8FajXtRloy8M0,Flowers,0.706,-4.775,0.0584,0.0232,0.632,118.048
50,52eIcoLUM25zbQupAZYoFh,redrum,0.624,-8.445,0.00529,0.5,0.246,172.089
51,7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),0.47,-7.779,0.0277,0.382,0.248,163.92
52,1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),0.575,-7.302,0.173,0.257,0.471,75.956
53,5GCU2LJWPzoP8Q6nexs61z,Let's Go,0.673,-7.612,0.00172,0.3,0.303,75.505
54,2yUzr8Sr6ldG8vmHhZwTnz,née-nah,0.678,-6.524,0.00495,0.57,0.318,165.423
55,5gzEL5O1ubbtIHUhLkSMTz,Loop Hole (feat. 21 Savage),0.746,-7.459,0.00412,0.331,0.491,164.928
56,2Adxpr1j5lSihOCsmIfflJ,GET OFF ME (with Travis Scott),0.78,-8.164,0.0185,0.153,0.0585,121.919
57,2FoahzOSxJnalPA8aBUme3,all of me,0.653,-5.708,0.12,0.842,0.791,159.947
58,1nQaTUDJ7Rc4yOvZmg9Ozr,Mmhmm,0.93,-8.799,0.028,0.129,0.962,126.003
59,2tOZtdbkAMQASWokLvSlzj,Overnight Celebrity,0.828,-5.435,0.182,0.281,0.777,134.199
60,779jpZikRmH99DiSVpwCHD,soak city (do it),0.861,-6.358,0.0658,0.286,0.257,101.919
