track_id,track_name,artists,album,danceability,loudness,acousticness,liveness,valence,tempo
5rFj8OzffT0iggSjcBaeND,"Fire On Fire - From ""Watership Down""",Sam Smith,"Fire On Fire (From ""Watership Down"")",0.584,-7.356,0.476,0.18,0.341,115.124
6FYbr9QzRoZPh0Re8lDO9z,7 Minutes,Dean Lewis,A Place We Knew,0.613,-6.478,0.526,0.149,0.712,104.966
1T7AiFL9ruKKwlONN35Vh0,A Little Too Much,Shawn Mendes,Handwritten,0.451,-6.24,0.473,0.108,0.564,165.76
0mjAU3yKR1QnXnHtjGJqTM,Rescue Me,OneRepublic,Rescue Me,0.759,-7.737,0.156,0.694,0.64,121.049
1YYhDizHx7PnDhAhko6cDS,"Take Me Home, Country Roads - Original Version",John Denver,"Poems, Prayers and Promises",0.462,-9.376,0.758,0.121,0.625,82.259
2hnxrRNzF74mdDzpQZQukQ,There's No Way (feat. Julia Michaels),"Lauv, Julia Michaels",There's No Way (feat. Julia Michaels),0.755,-7.114,0.49,0.157,0.374,147.02
0jZO7p0nBUi9VHedWUBS9l,The Night We Met (feat. Phoebe Bridgers),"Lord Huron, Phoebe Bridgers",13 Reasons Why (Season 2),0.424,-8.588,0.962,0.664,0.131,174.127
2VvTMIXG760UiG9OSiFt9j,Real Estate,Adam Melchor,Real Estate,0.493,-12.815,0.953,0.151,0.199,79.959
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,0.501,-5.679,0.751,0.105,0.446,109.891
1Fo4OvzP9PThFKMeMIAEYu,Superhero,Lauv,Superhero,0.681,-8.617,0.82,0.285,0.417,129.98
0BfVKJALJjpzNYIQiEgF2G,Waves,Dean Lewis,Waves,0.517,-5.806,0.161,0.0897,0.351,156.928
3DamFFqW32WihKkTVlwTYQ,Fireflies,Owl City,Ocean Eyes,0.512,-6.797,0.0275,0.118,0.472,180.114
7COXchtUOMd6uIT6HvmRaI,i'm so tired...,"Lauv, Troye Sivan",i'm so tired...,0.599,-7.058,0.176,0.242,0.534,102.211
