track_id,track_name,artists,album,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,playlist
5rFj8OzffT0iggSjcBaeND,"Fire On Fire - From ""Watership Down""","Sam Smith, ","Fire On Fire (From ""Watership Down"")",0.584,0.407,0.046,0.476,0.0,0.18,0.341,115.124,1.0,0.0,hodgepodge.
6FYbr9QzRoZPh0Re8lDO9z,7 Minutes,"Dean Lewis, ",A Place We Knew,0.613,0.739,0.0311,0.526,0.0,0.149,0.712,104.966,10.0,1.0,hodgepodge.
1T7AiFL9ruKKwlONN35Vh0,A Little Too Much,"Shawn Mendes, ",Handwritten,0.451,0.507,0.0316,0.473,0.0,0.108,0.564,165.76,11.0,1.0,hodgepodge.
0mjAU3yKR1QnXnHtjGJqTM,Rescue Me,"OneRepublic, ",Rescue Me,0.759,0.605,0.0433,0.156,0.0,0.694,0.64,121.049,7.0,1.0,hodgepodge.
1YYhDizHx7PnDhAhko6cDS,"Take Me Home, Country Roads - Original Version","John Denver, ","Poems, Prayers and Promises",0.462,0.395,0.0264,0.758,0.0,0.121,0.625,82.259,9.0,1.0,hodgepodge.
2hnxrRNzF74mdDzpQZQukQ,There's No Way (feat. Julia Michaels),"Lauv, Julia Michaels, ",There's No Way (feat. Julia Michaels),0.755,0.625,0.0896,0.49,0.0,0.157,0.374,147.02,2.0,1.0,hodgepodge.
0jZO7p0nBUi9VHedWUBS9l,The Night We Met (feat. Phoebe Bridgers),"Lord Huron, Phoebe Bridgers, ",13 Reasons Why (Season 2),0.424,0.437,0.0355,0.962,0.336,0.664,0.131,174.127,2.0,1.0,hodgepodge.
2VvTMIXG760UiG9OSiFt9j,Real Estate,"Adam Melchor, ",Real Estate,0.493,0.284,0.0309,0.953,0.00739,0.151,0.199,79.959,2.0,1.0,hodgepodge.
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,"Lewis Capaldi, ",Divinely Uninspired To A Hellish Extent,0.501,0.405,0.0319,0.751,0.0,0.105,0.446,109.891,1.0,1.0,hodgepodge.
1Fo4OvzP9PThFKMeMIAEYu,Superhero,"Lauv, ",Superhero,0.681,0.34,0.0339,0.82,0.0,0.285,0.417,129.98,7.0,1.0,hodgepodge.
0BfVKJALJjpzNYIQiEgF2G,Waves,"Dean Lewis, ",Waves,0.517,0.762,0.0454,0.161,0.0,0.0897,0.351,156.928,11.0,0.0,hodgepodge.
3DamFFqW32WihKkTVlwTYQ,Fireflies,"Owl City, ",Ocean Eyes,0.512,0.662,0.0439,0.0275,0.0,0.118,0.472,180.114,3.0,1.0,hodgepodge.
7COXchtUOMd6uIT6HvmRaI,i'm so tired...,"Lauv, Troye Sivan, ",i'm so tired...,0.599,0.733,0.203,0.176,0.0,0.242,0.534,102.211,11.0,1.0,hodgepodge.
37sINbJZcFdHFAsVNsPq1i,Superheroes,"The Script, ",No Sound Without Silence,0.49,0.885,0.0396,0.00218,0.0,0.0741,0.64,166.996,3.0,1.0,hodgepodge.
4b30rxe4kxjNl8YpE17Sew,Man on a Wire,"The Script, ",No Sound Without Silence,0.393,0.836,0.0363,0.00188,0.0,0.0698,0.367,180.092,9.0,1.0,hodgepodge.
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee, ",Hollywood's Bleeding,0.755,0.522,0.0575,0.533,0.0,0.0685,0.925,89.96,2.0,1.0,hodgepodge.
2b8fOow8UzyDFAE27YhOZM,Memories,"Maroon 5, ",Memories,0.764,0.32,0.0546,0.837,0.0,0.0822,0.575,91.019,11.0,1.0,hodgepodge.
1bQhZOoXYqjXs7u7rFXo0h,You & Me,"James TW, ",Chapters,0.714,0.686,0.0445,0.203,7.76e-06,0.102,0.828,127.015,11.0,1.0,hodgepodge.
4h0zU3O9R5xzuTmNO7dNDU,Lost Boy,"Ruth B., ",Lost Boy,0.71,0.0565,0.0534,0.965,0.0,0.0889,0.348,123.994,7.0,1.0,hodgepodge.
