track_id,track_name,artists,album,valence
5rFj8OzffT0iggSjcBaeND,"Fire On Fire - From ""Watership Down""",Sam Smith,"Fire On Fire (From ""Watership Down"")",0.341
6FYbr9QzRoZPh0Re8lDO9z,7 Minutes,Dean Lewis,A Place We Knew,0.712
1T7AiFL9ruKKwlONN35Vh0,A Little Too Much,Shawn Mendes,Handwritten,0.564
0mjAU3yKR1QnXnHtjGJqTM,Rescue Me,OneRepublic,Rescue Me,0.64
1YYhDizHx7PnDhAhko6cDS,"Take Me Home, Country Roads - Original Version",John Denver,"Poems, Prayers and Promises",0.625
2hnxrRNzF74mdDzpQZQukQ,There's No Way (feat. Julia Michaels),"Lauv, Julia Michaels",There's No Way (feat. Julia Michaels),0.374
0jZO7p0nBUi9VHedWUBS9l,The Night We Met (feat. Phoebe Bridgers),"Lord Huron, Phoebe Bridgers",13 Reasons Why (Season 2),0.131
2VvTMIXG760UiG9OSiFt9j,Real Estate,Adam Melchor,Real Estate,0.199
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,0.446
1Fo4OvzP9PThFKMeMIAEYu,Superhero,Lauv,Superhero,0.417
0BfVKJALJjpzNYIQiEgF2G,Waves,Dean Lewis,Waves,0.351
3DamFFqW32WihKkTVlwTYQ,Fireflies,Owl City,Ocean Eyes,0.472
7COXchtUOMd6uIT6HvmRaI,i'm so tired...,"Lauv, Troye Sivan",i'm so tired...,0.534
37sINbJZcFdHFAsVNsPq1i,Superheroes,The Script,No Sound Without Silence,0.64
4b30rxe4kxjNl8YpE17Sew,Man on a Wire,The Script,No Sound Without Silence,0.367
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Hollywood's Bleeding,0.925
2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,Memories,0.575
1bQhZOoXYqjXs7u7rFXo0h,You & Me,James TW,Chapters,0.828
4h0zU3O9R5xzuTmNO7dNDU,Lost Boy,Ruth B.,Lost Boy,0.348
2afCBiru10AFckfOa49wIa,You & I,One Direction,Midnight Memories (Deluxe),0.356
5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),"Julia Michaels, Niall Horan",Inner Monologue Part 1,0.386
5BpmwiKR6ns1EtfCQRpNUc,Flicker,Niall Horan,Flicker (Deluxe),0.239
2gMXnyrvIjhVBUZwvLZDMP,Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),0.183
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,everything i wanted,0.243
4HB3kg2cstQrH7A2318IYB,love yourself - Cover,Cliston Martis,love yourself,0.806
3mlMpmY8oZIBFc39D9zLbh,The Long And Winding Road - Remastered 2009,The Beatles,Let It Be (Remastered),0.392
7HieCvP8KopwJV4EdjFNeZ,Sunflower,Jakub Zytecki,Sunflower,0.203
0bqQuzIX7tpY4IBllPHDqF,Blackout,Freya Ridings,Blackout,0.142
